,distance,x shift mean,x shift std,y shift mean,y shift std,z shift mean,z shift std
0,1,1.4936514186802057,0.3979743091242538,1.217770832263553,0.20712748000904946,0.2716279646342955,0.022348848838390084
1,2,0.6200408326509796,0.0852775366413338,0.13844431057996254,0.021316829767413045,0.2328298003669534,0.1738025109700163
2,3,0.149293696120821,0.010345742893440188,0.020881986734095827,0.002567358748157146,0.033461630418344594,0.02617647150615492
3,4,0.40991593849696084,0.20746277903355284,0.2648624139364076,0.1977305332187731,0.09863209665155029,0.03285941738226505
4,5,0.5093928042462013,0.11355297019051108,0.6139432210395204,0.5027610961422346,0.20683255076249324,0.041722090895007696
5,6,0.2560703607028458,0.1002789295883641,0.3395761474623681,0.19263512880494993,0.049824740187399255,0.004967481674673924
6,7,0.09257647810845945,0.02071039330724718,0.05069105015050088,0.005209309810037421,0.044493014786651255,0.01382792803713097
