Epoch Time,x,y,z
1711134018.5465956,65.79892502890692,11.330931274979202,25.969349123813487
1711134018.5476053,85.04832784334818,37.03571580074451,8.961234793618873
1711134018.5486152,89.49588846277307,88.67875293449119,-21.561178620214815
1711134018.549625,76.92365734665482,156.54779142803616,-31.411923744060374
1711134018.5506349,65.41370241730301,142.28292085506297,-36.55905248942199
1711134018.5516446,42.30040918897699,157.80850693031593,-57.019188448234836
1711134018.5526543,14.401029933381963,154.09637380529333,-58.221353424919975
1711134018.5536642,10.37371379357797,42.148657419063426,-58.59484275182088
1711134018.554674,1.4902711673467246,-46.22305432955424,-64.4189229717961
1711134018.5556839,-15.7837873255765,-72.00539663985923,-55.7469990518358
1711134018.5566936,-21.549507423683448,-108.14035380328143,-29.649527536498173
1711134018.5577033,-15.351940636281613,-179.3014782446402,-9.049332390228907
1711134018.5587132,-1.8246746104624536,-199.586550394694,-4.695863290517418
1711134018.559723,16.29211836391025,-187.62325799023662,7.630469346487963
1711134018.5607328,42.557225183204366,-206.6244460918285,14.272623316005424
1711134018.5617425,56.2150776386261,-123.13822905222574,20.109312953772367
1711134018.5627522,59.81047948201497,-13.636230594582027,35.72829619601921
1711134018.5637622,79.07156039167333,27.626970851862872,30.45192747204392
1711134018.564772,97.7839915840714,58.52640778930098,4.770491203224217
1711134018.5657816,95.460988857128,123.68722094429863,-23.61536301948406
1711134018.5667915,80.07546817814863,166.9604469228674,-26.008020396585817
1711134018.5678012,61.91169222195943,144.87440939302797,-49.24597011672126
1711134018.5688112,36.79057514225995,181.89069297578598,-65.09586616798683
1711134018.569821,12.229781735826421,139.02604579925537,-66.60149053291038
1711134018.5708306,12.323167864923123,18.101491861873203,-69.36763723691304
1711134018.5718405,-0.622510323645892,-38.940040049729525,-72.99747180055688
1711134018.5728502,-19.366937103094877,-64.47728033419008,-59.435190977873624
1711134018.5738602,-22.238124575879837,-117.69930521647134,-30.081371466318764
1711134018.5748699,-7.765466968218485,-182.40609654673824,-17.86131273817133
1711134018.5758796,4.665430773187566,-181.32065181378965,-7.800481937549732
1711134018.5768895,28.058886528015137,-186.1176225874159,10.070206114539394
1711134018.5778992,48.66240201173005,-183.46820716504698,8.622706626300458
1711134018.5789092,55.91157409879896,-70.72152914824309,12.171414715272409
1711134018.5799189,62.37862286744294,11.949620589062018,23.00431193025024
1711134018.5809286,86.20399567815993,40.467690538477015,12.696716520521376
1711134018.5819385,94.51543843304668,84.81485976113213,-14.266491764121584
1711134018.5829482,88.74879391105087,157.3182256133468,-31.42359356085459
1711134018.5839581,71.39047538792646,166.49351075843526,-38.333121273252694
1711134018.5849679,56.83376833244606,159.0925786230299,-61.104214853710594
1711134018.5859776,27.872111510347434,181.06189039018417,-60.263866627657855
1711134018.5869875,14.039155233789373,92.53096801263314,-59.38850619174816
1711134018.5879972,11.074116660488976,-15.94718821622707,-63.03001333166051
1711134018.5890071,-3.108539515071445,-63.61358695560031,-61.559401176593916
1711134018.5900168,-19.19186363617579,-91.88195621525799,-34.53988443922113
1711134018.5910265,-15.982201805821171,-154.14939986334906,-4.1122882868404735
1711134018.5920365,-4.158974452703087,-202.22429875974302,-7.041834156822275
1711134018.5930462,10.828976002004412,-188.35855854882132,9.463190066593665
1711134018.5940561,32.76325762271881,-214.94622583742495,11.354277807253379
1711134018.5950658,50.10990081010041,-166.06600196273237,10.992403107660788
1711134018.5960755,55.0243975939574,-32.96423289510939,27.125014199150932
1711134018.5970855,66.00904795858595,24.942093425326878,29.179531115072745
1711134018.5980952,90.2780062622494,46.70127674385353,9.591597373838777
1711134018.599105,92.83447707140887,97.29371026710227,-23.381930810433847
1711134018.6001148,79.00151941511366,164.41564868997645,-28.38900519741906
1711134018.6011245,62.20352318551805,151.89010787893224,-28.98425139762737
1711134018.6021345,42.39379807754799,165.37286617137767,-45.942937334378556
1711134018.6031442,12.696716520521376,153.1858576668633,-50.00462134679158
1711134018.6041539,6.731618885640745,35.72829619601921,-55.688641689441816
1711134018.6051638,0.5213805922755488,-53.809527997617366,-64.78073420347991
1711134018.6061735,-16.332347359922196,-74.45641137935496,-52.82911989423963
1711134018.6071835,-22.413198042798925,-112.94901371002197,-26.334822177886963
1711134018.6081932,-20.300656281135698,-186.736230497007,-7.940539745268998
1711134018.6092029,-6.108114288912879,-209.67070703153257,1.7237387321613453
1711134018.6102128,14.07417572206921,-193.94920931922064,15.276533861955006
1711134018.6112225,36.45204559520439,-215.33140429744012,17.50614908006456
1711134018.6122324,52.421230960775304,-136.11693073202062,24.078262073022348
1711134018.6132421,59.20346688341211,-21.526163650883568,33.95394318633609
1711134018.6142519,77.04038862828855,15.848528731752324,26.94991451722604
1711134018.6152618,93.07961772989343,41.41323268413544,6.649905332812557
1711134018.6162715,89.37915166219075,107.96317347773798,-15.760443552776618
1711134018.6172814,75.93142213644805,147.5009211787471,-20.91924625414389
1711134018.6182911,61.52646961035551,130.92471493615045,-40.28226214426535
1711134018.6193008,32.49476905222292,160.93697812822128,-59.01501686484725
1711134018.6203108,10.642201674205285,119.33304645397044,-56.61068691147698
1711134018.6213205,10.875669066552762,-5.116037058609503,-73.11418652534485
1711134018.6223304,-2.851766465162789,-56.63403206401401,-69.65942404888294
1711134018.6233401,-20.137255390485127,-73.82614745034111,-59.45853613041065
1711134018.6243498,-22.24979715214835,-129.4174900761357,-29.26436839280305
1711134018.6253598,-13.70626053324452,-194.2176509786535,-19.740425050258636
1711134018.6263695,2.564222172454551,-189.3623007668389,-8.314027692432756
1711134018.6273794,23.68136688514992,-198.27933223159224,8.774460465819747
1711134018.6283891,43.87631736419819,-201.0454734166463,11.20252396773409
1711134018.6293988,53.12163520742345,-86.46638305098922,13.385445431426719
1711134018.6304088,63.826121665813304,4.198495643558325,20.949796394065572
1711134018.6314185,86.76431797168873,37.38591792406859,14.330990336559436
1711134018.6324282,90.39473754388314,74.93918140729268,-4.730877569980091
1711134018.633438,85.08335109110232,140.82374396147551,-33.97965320834407
1711134018.6344478,68.5655187677454,159.1859702710752,-38.8466677180043
1711134018.6354578,51.020427986427585,151.58659882015652,-49.852888893198084
1711134018.6364675,21.88366734319263,168.0927585672449,-55.63028432704784
1711134018.6374772,9.416497002045313,86.33239953606217,-59.353488462942614
1711134018.638487,7.828916940424177,-21.852965432184714,-68.02541238290291
1711134018.6394968,-8.314027692432756,-56.353912309364034,-56.29555494697006
1711134018.6405067,-18.830048265280546,-86.47805010830913,-40.67909386422899
1711134018.6415164,-13.7996314852326,-154.546234342787,-14.896752933661142
1711134018.6425261,-3.1668968774654247,-203.2280409777606,-10.566626571946673
1711134018.643536,9.708331414946803,-186.2343593879982,3.2646250393655563
1711134018.6445458,34.28079739764885,-207.2897222306993,13.52552600480892
1711134018.6455557,51.26556864491215,-167.81672283455177,6.883372725160033
1711134018.6465654,54.510765605502655,-30.256443553500702,21.860320810918452
1711134018.6475751,65.9623521345633,24.06658949675383,20.38947410053677
1711134018.648585,88.0367170881342,57.685927108482076,5.87946217921045
1711134018.6495948,90.83832855577822,109.30561357074313,-23.47530314215907
1711134018.6506047,77.82250642776489,170.10058517809267,-35.60198953858128
1711134018.6516144,60.89610634026704,156.82794429637767,-40.317277113596596
1711134018.6526241,44.00472398157473,169.90213482468215,-66.321376297209
1711134018.653634,18.790220772778547,168.9215721907439,-57.63777980098018
1711134018.6546438,14.225928871719924,50.22663761068273,-56.143828012325145
